Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO,False,1045.300963938493,278.3209204628655,0.8975101463806275,0.95,4.136619412372998,5171.15,,
PPO_Wrapped,True,972.7827892043626,264.902847597858,0.7972336910335815,1.0,5.102889572744318,5021.88,0.0,46951.0
Smart_Heuristic_Wrapped,True,862.1674332911629,259.85164596241486,0.7224360466610249,1.0,5.000507167505378,5911.35,0.0,46971.0
Smart_Heuristic,False,452.90591372954964,360.3990083553913,0.5493227314676181,0.99,4.223164302886912,4463.1,,
Always_Sleep_Wrapped,True,-446.28791198524397,119.40088130756433,0.042574769981066775,1.0,26.82264863243693,384.05,0.0,9680.0
Always_Sleep,False,-530.2960270387134,19.12861531520927,0.0,1.0,27.333831155291,0.0,,
Random_Wrapped,True,-1028.4996390284539,222.69438271359763,0.6300240816224248,1.0,5.642204825668582,3722.8,0.0,42973.0
Random,False,-1524.6425820435472,162.16218241954266,0.6983981583697958,0.97,4.619323804575567,3322.0,,
Battery_Threshold_Wrapped,True,-2308.7925164707185,970.61166245555,0.7316142950758708,1.0,4.025450299458471,5927.8,0.0,50560.0
Battery_Threshold,False,-2433.1993725698912,910.6232240728582,0.6492650560788593,1.0,3.598644249412486,5338.45,,
Max_Throughput_Wrapped,True,-3560.9280471195875,824.6064190725302,0.7103057290326995,1.0,3.8600122836306254,5690.1,0.0,56129.0
Max_Throughput,False,-4519.315629755141,1237.0953534672722,0.789875347928622,0.71,2.821793598170814,5310.75,,
