,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,-8.568802222627212,3.37737542467782,1.382186796847334,-7.0411150587090265,-11.226465944813013,-2.5342471348076083,-7.53497740678974,3.409456576574057,1.121264310200027,-10.964883009048208,-11.314328086275182
Always_Sleep,8.568802222627212,0.0,4.5367377842426055,2.9397798342418606,-3.8333711745682524,-7.947098186598781,3.136417997415303,-0.9775599507314369,5.170139639066155,2.577838936315008,-7.519992281212835,-7.96339758380357
Max_Throughput,-3.37737542467782,-4.5367377842426055,0.0,-1.9109453516811172,-5.4298868724383285,-6.175081873723833,-3.9077909631237886,-4.611405379782094,-0.907068817297761,-1.9781545326936125,-5.990402415311928,-6.108469730188365
Battery_Threshold,-1.382186796847334,-2.9397798342418606,1.9109453516811172,0.0,-4.1467496440460945,-5.140359695419544,-2.1084547734552284,-3.0441834815914914,1.2917019744379752,-0.13153102186157872,-4.896647496548598,-5.053549789666474
Smart_Heuristic,7.0411150587090265,3.8333711745682524,5.4298868724383285,4.1467496440460945,0.0,-1.8305939273019691,4.920375536861249,3.33263386301611,6.276046721299585,3.7533289809235604,-1.2961300448313289,-1.6355051529770357
PPO,11.226465944813013,7.947098186598781,6.175081873723833,5.140359695419544,1.8305939273019691,0.0,8.18659224032604,6.9302966720837915,7.447396838310927,4.674160191626091,0.6767656521977398,0.2655725881162368
Random_Wrapped,2.5342471348076083,-3.136417997415303,3.9077909631237886,2.1084547734552284,-4.920375536861249,-8.18659224032604,0.0,-3.2421662059977376,4.171927227682373,1.8090734244404494,-7.7739216551992225,-8.137174858972738
Always_Sleep_Wrapped,7.53497740678974,0.9775599507314369,4.611405379782094,3.0441834815914914,-3.33263386301611,-6.9302966720837915,3.2421662059977376,0.0,5.260028018695109,2.67992709228794,-6.438273362852709,-6.872076806212605
Max_Throughput_Wrapped,-3.409456576574057,-5.170139639066155,0.907068817297761,-1.2917019744379752,-6.276046721299585,-7.447396838310927,-4.171927227682373,-5.260028018695109,0.0,-1.3834074479191285,-7.198693961467887,-7.365675267879127
Battery_Threshold_Wrapped,-1.121264310200027,-2.577838936315008,1.9781545326936125,0.13153102186157872,-3.7533289809235604,-4.674160191626091,-1.8090734244404494,-2.67992709228794,1.3834074479191285,0.0,-4.440650122220213,-4.589536425270163
Smart_Heuristic_Wrapped,10.964883009048208,7.519992281212835,5.990402415311928,4.896647496548598,1.2961300448313289,-0.6767656521977398,7.7739216551992225,6.438273362852709,7.198693961467887,4.440650122220213,0.0,-0.4194563067006689
PPO_Wrapped,11.314328086275182,7.96339758380357,6.108469730188365,5.053549789666474,1.6355051529770357,-0.2655725881162368,8.137174858972738,6.872076806212605,7.365675267879127,4.589536425270163,0.4194563067006689,0.0
