,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,-2.2935748167000543,1.4533750765506022,1.8739634824891658,-4.011017705563858,-4.638706316849162,-0.4688669598604697,-2.5289639362860528,3.928414921591102,1.8481763908118152,-5.511203450021513,-5.845954814370183
Always_Sleep,2.2935748167000543,0.0,2.1287040158658597,3.073817303264388,-3.5372856897481872,-4.351376011181686,4.443709025580253,-1.2021305435598086,5.997228141958093,3.113926382110643,-6.821254318220906,-7.4551730959843745
Max_Throughput,-1.4533750765506022,-2.1287040158658597,0.0,-0.21914720919852282,-2.8363909515369237,-3.1195258163408495,-1.633333284697577,-2.2091928802236382,0.4953107821562861,-0.2791101830844108,-3.2114680245847844,-3.3171709454979528
Battery_Threshold,-1.8739634824891658,-3.073817303264388,0.21914720919852282,0.0,-4.090755293510566,-4.4959241989749685,-2.2411720435446694,-3.194167312048199,1.0588691665911953,-0.07855851245141916,-4.75270202315288,-4.922091961635873
Smart_Heuristic,4.011017705563858,3.5372856897481872,2.8363909515369237,4.090755293510566,0.0,-0.9399900316271228,5.164268460634078,3.000235110890609,6.947226006451874,4.164234057308159,-1.2840733343192687,-1.6750133695629639
PPO,4.638706316849162,4.351376011181686,3.1195258163408495,4.4959241989749685,0.9399900316271228,0.0,5.781668804841161,3.8629967052344,7.363627228607015,4.582188228227389,-0.13281061524577972,-0.49179505820735553
Random_Wrapped,0.4688669598604697,-4.443709025580253,1.633333284697577,2.2411720435446694,-5.164268460634078,-5.781668804841161,0.0,-4.421462625708886,4.768365892681279,2.2378194614782227,-8.17506215450832,-8.70603287654103
Always_Sleep_Wrapped,2.5289639362860528,1.2021305435598086,2.2091928802236382,3.194167312048199,-3.000235110890609,-3.8629967052344,4.421462625708886,0.0,6.116802912499608,3.2389233725562185,-5.814159564835081,-6.402165415220814
Max_Throughput_Wrapped,-3.928414921591102,-5.997228141958093,-0.4953107821562861,-1.0588691665911953,-6.947226006451874,-7.363627228607015,-4.768365892681279,-6.116802912499608,0.0,-1.1829233815213143,-7.999536946402925,-8.223466370608712
Battery_Threshold_Wrapped,-1.8481763908118152,-3.113926382110643,0.2791101830844108,0.07855851245141916,-4.164234057308159,-4.582188228227389,-2.2378194614782227,-3.2389233725562185,1.1829233815213143,0.0,-4.863978703667767,-5.041184961432263
Smart_Heuristic_Wrapped,5.511203450021513,6.821254318220906,3.2114680245847844,4.75270202315288,1.2840733343192687,0.13281061524577972,8.17506215450832,5.814159564835081,7.999536946402925,4.863978703667767,0.0,-0.4606938933275651
PPO_Wrapped,5.845954814370183,7.4551730959843745,3.3171709454979528,4.922091961635873,1.6750133695629639,0.49179505820735553,8.70603287654103,6.402165415220814,8.223466370608712,5.041184961432263,0.4606938933275651,0.0
