Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO_Wrapped,True,552.4854368833938,289.44927701306835,0.6252683647425521,0.78,5.411307016621004,3451.09,0.0,58650.0
Smart_Heuristic_Wrapped,True,456.1807298115364,284.7878633413613,0.5501930384050455,0.78,5.277600317287621,4327.4,0.0,58667.0
PPO,False,415.02237288282873,307.3875387012506,0.7704150585326122,0.01,2.8697896733110095,2212.65,,
Smart_Heuristic,False,168.56581667185117,276.7125779740514,0.42649948723336906,0.07,3.1178568027180353,2372.2,,
Always_Sleep_Wrapped,True,-431.59124323485986,84.08458766289286,0.053087089509113505,1.0,26.614336911816498,472.05,0.0,18052.0
Always_Sleep,False,-534.1061050816878,22.720003499737068,0.0,1.0,27.333831155291,0.0,,
Random,False,-756.2140723669453,418.90452566925995,0.5764592274507038,0.03,3.1866561286063733,1523.0,,
Random_Wrapped,True,-1014.6849232178736,257.4285131121514,0.4522007954990692,0.79,5.985543442358765,2684.9,0.0,56154.0
Battery_Threshold,False,-1669.7539693607846,1149.434298753296,0.4595100293155852,0.11,2.688059058363359,2757.96,,
Max_Throughput,False,-1946.3024071220495,1312.6836056989644,0.7131494807066285,0.0,2.1053011457362825,2280.95,,
Battery_Threshold_Wrapped,True,-2315.632869806337,1054.9717797271564,0.554715019628958,0.72,3.996966820856696,4259.25,0.0,60535.0
Max_Throughput_Wrapped,True,-2899.32894375813,1064.9202644430336,0.5225122010958264,0.66,3.882207473536397,4086.4,0.0,62962.0
