Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO,False,308.28356712672786,268.9233281769571,0.7849720000255883,0.0,3.147787493512737,1459.73,,
PPO_Wrapped,True,259.9871636173126,283.37795263301916,0.5244632656297561,0.04,3.7826615447597187,1804.91,0.0,37352.0
Smart_Heuristic_Wrapped,True,199.5375386764503,263.8859742738278,0.4447953356293675,0.04,3.6978824799417085,2269.7,0.0,37317.0
Smart_Heuristic,False,154.9890838596686,246.95031552847615,0.4175386319601182,0.0,3.222728270326874,1669.65,,
Always_Sleep_Wrapped,True,-415.1350355381408,100.49460915754135,0.05428742413566619,0.75,23.548376899834274,387.45,0.0,27725.0
Random,False,-487.25842011633307,346.67924618887224,0.5711828073944352,0.0,3.4657082055975814,1032.85,,
Always_Sleep,False,-506.5656083841453,94.87655676197932,0.0,0.77,24.76525332137987,0.0,,
Random_Wrapped,True,-619.418927815772,357.2361591286381,0.3431330455321017,0.05,4.255719805225683,1461.75,0.0,37173.0
Battery_Threshold,False,-1267.3716465384084,1133.8231750576037,0.4681494319592745,0.0,2.5929566412598994,1881.54,,
Max_Throughput,False,-1373.0355459759721,1164.8475658825578,0.7189220995800906,0.0,2.27918096842255,1629.8,,
Battery_Threshold_Wrapped,True,-1401.9750727748967,1135.5952199913618,0.45385375627595165,0.02,2.88035896473979,2333.75,0.0,37597.0
Max_Throughput_Wrapped,True,-1636.9206376962593,1206.0402740853758,0.407565818598602,0.02,2.8436969795419804,2228.0,0.0,37579.0
