Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO,False,1231.9995573595106,190.92638429402442,0.9661783520757874,1.0,3.936731421880813,5747.78,,
PPO_Wrapped,True,1077.0057157320343,254.57511512611066,0.8488821358070813,1.0,4.808160095632484,5442.1,0.0,40016.0
Smart_Heuristic_Wrapped,True,970.2491943445815,248.5695564026077,0.7793396059937717,1.0,4.717691702573874,6314.05,0.0,39980.0
Smart_Heuristic,False,570.8754096988228,392.7833526481214,0.5906724707258253,1.0,3.962901168832898,4778.0,,
Always_Sleep_Wrapped,True,-427.7045879786555,146.03847940733263,0.05239680835850437,1.0,26.785391326187963,451.9,0.0,10536.0
Always_Sleep,False,-530.3074992782456,19.137273453875803,0.0,1.0,27.333831155291,0.0,,
Random_Wrapped,True,-1067.625137810918,341.76986909636963,0.6726687513434584,1.0,5.336970951702106,3924.25,0.0,36136.0
Random,False,-1539.7596632720638,127.63073357850827,0.7368360351535561,1.0,4.495763688668871,3530.6,,
Battery_Threshold_Wrapped,True,-2090.7279171898845,1122.9937666651322,0.8075709344746973,1.0,3.8453549869136827,6426.2,0.0,43297.0
Battery_Threshold,False,-2165.916378707231,1046.6274596810877,0.7403423768394386,1.0,3.3454044982316318,5943.52,,
Max_Throughput_Wrapped,True,-3740.3349752429895,1040.3611457204331,0.788209564974607,1.0,3.6232066683411563,6216.0,0.0,49545.0
Max_Throughput,False,-5395.012048959179,644.1506033083916,0.903869748846528,0.99,2.8278011574568684,6489.25,,
