Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO_Wrapped,True,793.6065629325756,250.65648781771432,0.7137579736028036,1.0,5.501748017874302,4393.41,0.0,54894.0
PPO,False,628.1630037292488,374.94050264939574,0.7794922670583947,0.35,3.042880237795409,3512.44,,
Smart_Heuristic_Wrapped,True,113.46960417991546,100.81464872186152,0.27812723960559027,1.0,5.368749939236892,5114.05,0.0,54877.0
Smart_Heuristic,False,-73.22887583903002,158.24613979309356,0.2442635186226086,0.76,4.267889657116445,3764.55,,
Always_Sleep_Wrapped,True,-439.0018688580541,105.58821371384609,0.046936091031902306,1.0,26.76092436663707,419.5,0.0,11864.0
Always_Sleep,False,-530.698592894865,19.276473027306345,0.0,1.0,27.333831155291,0.0,,
Random_Wrapped,True,-1189.1629745641183,142.01365744237074,0.4607686311995943,1.0,6.0615941106480635,3307.9,0.0,51110.0
Random,False,-1223.7392590575841,433.5253382745151,0.5628289666747158,0.45,3.653603730507105,2404.15,,
Battery_Threshold,False,-2673.9338079149957,934.6968802587498,0.5029293954933293,0.86,3.7583618705156163,4584.1,,
Battery_Threshold_Wrapped,True,-2687.525691169738,882.8170143588319,0.5390246330764676,1.0,4.273033036046659,5296.8,0.0,58660.0
Max_Throughput,False,-2869.9492791604916,1541.0926331903734,0.7047593457301048,0.08,2.086072338301356,3259.7,,
Max_Throughput_Wrapped,True,-3563.699459860532,675.6021484351289,0.5651651086674857,1.0,4.152433588716802,5110.6,0.0,63358.0
