,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,-2.2472321147414327,1.4469419130381789,1.9805139323332401,-3.5079027761028687,-4.5463902350315974,-0.10665034250982415,-2.474735838119847,4.101750156094434,2.09424482683417,-4.227474927654579,-5.668558755871836
Always_Sleep,2.2472321147414327,0.0,2.135731457642829,3.225813844560109,-4.037972543256607,-4.343387748795091,6.465027226194574,-1.2021305435598086,6.314477234794771,3.4369540511148338,-8.831022292525539,-7.412440867442251
Max_Throughput,-1.4469419130381789,-2.135731457642829,0.0,-0.1530287994029978,-2.5402430396021924,-3.103488443213483,-1.5281998516828117,-2.2144324618522164,0.5801425571774673,-0.14453061847455032,-2.718258739502811,-3.3016938737982615
Battery_Threshold,-1.9805139323332401,-3.225813844560109,0.1530287994029978,0.0,-3.8602575559345005,-4.613731547674053,-2.209863749841661,-3.3432787703948885,1.0855920464881754,0.014875536329445067,-4.172055288385833,-5.042004863265429
Smart_Heuristic,3.5079027761028687,4.037972543256607,2.5402430396021924,3.8602575559345005,0.0,-2.425124427321725,7.385080545208979,2.7054883595228527,7.078274563767884,4.101562876227161,-1.4001305286286785,-4.114789906967635
PPO,4.5463902350315974,4.343387748795091,3.103488443213483,4.613731547674053,2.425124427321725,0.0,6.378114190416904,3.8550450616931795,7.633886055551704,4.864353343284388,1.8653537905664317,-0.5161754179995286
Random_Wrapped,0.10665034250982415,-6.465027226194574,1.5281998516828117,2.209863749841661,-7.385080545208979,-6.378114190416904,0.0,-5.964839978371569,4.839846912041845,2.357931314122035,-10.524652976295613,-9.684446474653425
Always_Sleep_Wrapped,2.474735838119847,1.2021305435598086,2.2144324618522164,3.3432787703948885,-2.7054883595228527,-3.8550450616931795,5.964839978371569,0.0,6.429975400551284,3.5585666056195384,-5.325073653156114,-6.376873028461462
Max_Throughput_Wrapped,-4.101750156094434,-6.314477234794771,-0.5801425571774673,-1.0855920464881754,-7.078274563767884,-7.633886055551704,-4.839846912041845,-6.429975400551284,0.0,-1.1090420640172793,-7.574831242018478,-8.508545424370721
Battery_Threshold_Wrapped,-2.09424482683417,-3.4369540511148338,0.14453061847455032,-0.014875536329445067,-4.101562876227161,-4.864353343284388,-2.357931314122035,-3.5585666056195384,1.1090420640172793,0.0,-4.4356860581135695,-5.337610801523789
Smart_Heuristic_Wrapped,4.227474927654579,8.831022292525539,2.718258739502811,4.172055288385833,1.4001305286286785,-1.8653537905664317,10.524652976295613,5.325073653156114,7.574831242018478,4.4356860581135695,0.0,-3.542342423549244
PPO_Wrapped,5.668558755871836,7.412440867442251,3.3016938737982615,5.042004863265429,4.114789906967635,0.5161754179995286,9.684446474653425,6.376873028461462,8.508545424370721,5.337610801523789,3.542342423549244,0.0
