Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO_Wrapped,True,787.9667319445675,248.14354893479006,0.7149920351773544,1.0,5.497327294392989,4342.09,0.0,54852.0
Smart_Heuristic_Wrapped,True,673.1990193750697,247.59717822416218,0.6358520293985189,1.0,5.366952126593733,5262.65,0.0,54878.0
PPO,False,630.778271889677,375.09719528740453,0.7803968129506257,0.35,3.0421999340370163,3490.65,,
Smart_Heuristic,False,297.5211464473199,328.8996487641299,0.4901934908013334,0.76,4.267041045984353,3829.0,,
Always_Sleep_Wrapped,True,-439.0018688580541,105.58821371384609,0.046936091031902306,1.0,26.76092436663707,419.5,0.0,11864.0
Always_Sleep,False,-530.698592894865,19.276473027306345,0.0,1.0,27.333831155291,0.0,,
Random_Wrapped,True,-1050.363070165712,163.42163906889044,0.5436143123418439,1.0,6.056947323403891,3296.6,0.0,51145.0
Random,False,-1196.8929658145219,408.26023603716925,0.6081646774384482,0.45,3.7346582276168476,2413.2,,
Battery_Threshold_Wrapped,True,-2462.2783590080844,872.6316608386918,0.6478415953722129,1.0,4.273033036046659,5296.8,0.0,58660.0
Battery_Threshold,False,-2532.9241812991313,916.3713133413439,0.5705795684427784,0.86,3.7583618705156163,4584.1,,
Max_Throughput,False,-2807.315348844229,1504.7751561334615,0.704119244427485,0.08,2.086072338301356,3259.7,,
Max_Throughput_Wrapped,True,-3387.119934700851,669.9225253702953,0.6279831845608732,1.0,4.152433588716802,5110.6,0.0,63358.0
