,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,-2.5534107468197234,1.3050625849055544,1.5701832471118324,-4.210787624035542,-4.679238785647697,-0.6444297223085643,-2.7752627028181807,3.3457702174704287,1.4153309303861827,-5.67054575099376,-5.86138627476345
Always_Sleep,2.5534107468197234,0.0,2.1438857085992287,3.0429006064446957,-3.6764139011711787,-4.319801385153479,4.553687925738108,-1.2064359789152017,5.743274217449119,2.9365168955757173,-7.269340281380844,-7.96175480558472
Max_Throughput,-1.3050625849055544,-2.1438857085992287,0.0,-0.25540444143665214,-2.870732110414557,-3.090809986539603,-1.5646752963550838,-2.2305854660318816,0.42498464039403683,-0.37530839507817176,-3.279498108084279,-3.3256648661538932
Battery_Threshold,-1.5701832471118324,-3.0429006064446957,0.25540444143665214,0.0,-4.0998685423973775,-4.417746010500144,-2.0650015953868,-3.1720058486048353,1.0102623663749382,-0.16130521242781343,-4.8182000673259155,-4.902760276848892
Smart_Heuristic,4.210787624035542,3.6764139011711787,2.870732110414557,4.0998685423973775,0.0,-0.7506765085264757,5.4752453126195215,3.0643542794954937,6.768588119605292,4.031754133579955,-1.4329052582194812,-1.6211014937737258
PPO,4.679238785647697,4.319801385153479,3.090809986539603,4.417746010500144,0.7506765085264757,0.0,5.946839320406525,3.750957992964992,7.098441634004913,4.359943704009154,-0.4997300912885615,-0.6570810984356997
Random_Wrapped,0.6444297223085643,-4.553687925738108,1.5646752963550838,2.0650015953868,-5.4752453126195215,-5.946839320406525,0.0,-4.5393693747165855,4.338200165115071,1.9194128408948594,-8.569478465945261,-9.08552749908383
Always_Sleep_Wrapped,2.7752627028181807,1.2064359789152017,2.2305854660318816,3.1720058486048353,-3.0643542794954937,-3.750957992964992,4.5393693747165855,0.0,5.868302730789876,3.0707863620323184,-6.075006959917721,-6.604851249769437
Max_Throughput_Wrapped,-3.3457702174704287,-5.743274217449119,-0.42498464039403683,-1.0102623663749382,-6.768588119605292,-7.098441634004913,-4.338200165115071,-5.868302730789876,0.0,-1.2201585184352435,-7.855782887937184,-7.991060492793908
Battery_Threshold_Wrapped,-1.4153309303861827,-2.9365168955757173,0.37530839507817176,0.16130521242781343,-4.031754133579955,-4.359943704009154,-1.9194128408948594,-3.0707863620323184,1.2201585184352435,0.0,-4.780060063744022,-4.86845595348402
Smart_Heuristic_Wrapped,5.67054575099376,7.269340281380844,3.279498108084279,4.8182000673259155,1.4329052582194812,0.4997300912885615,8.569478465945261,6.075006959917721,7.855782887937184,4.780060063744022,0.0,-0.1898345594055327
PPO_Wrapped,5.86138627476345,7.96175480558472,3.3256648661538932,4.902760276848892,1.6211014937737258,0.6570810984356997,9.08552749908383,6.604851249769437,7.991060492793908,4.86845595348402,0.1898345594055327,0.0
