Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO_Wrapped,True,800.1724482226632,249.57045604149872,0.7237552421667346,1.0,5.477510399655037,4295.47,0.0,54841.0
Smart_Heuristic_Wrapped,True,762.4566256227649,246.6285860593261,0.7002584939767105,1.0,5.365459613709944,5335.75,0.0,54881.0
PPO,False,630.172638115499,371.09571269994626,0.7812944529673185,0.35,3.0395706874499466,3469.16,,
Smart_Heuristic,False,341.7757407389204,331.3586981822191,0.5298859826805942,0.76,4.266334175197802,3808.65,,
Always_Sleep_Wrapped,True,-436.1252463580541,109.3768393533553,0.04931202930627371,1.0,26.76092436663707,419.5,0.0,11864.0
Always_Sleep,False,-530.698592894865,19.276473027306345,0.0,1.0,27.333831155291,0.0,,
Random_Wrapped,True,-1071.2216400165207,175.65608669224355,0.5798734691620319,1.0,6.056856804536507,3312.05,0.0,51090.0
Random,False,-1281.3521483386353,436.21117966690923,0.5944604824948722,0.46,3.750827198689043,2433.2,,
Battery_Threshold_Wrapped,True,-2491.9544616527337,906.9689460547957,0.7022554609135567,1.0,4.273033036046659,5296.8,0.0,58660.0
Battery_Threshold,False,-2580.802017154715,953.6956654955474,0.6165357662270182,0.86,3.7584118469836754,4556.55,,
Max_Throughput,False,-2923.3984361774847,1573.3418296515986,0.7070493160544156,0.08,2.086072338301356,3259.7,,
Max_Throughput_Wrapped,True,-3474.5829051530122,710.2984806627193,0.6797778594363083,1.0,4.152433588716802,5110.6,0.0,63358.0
