,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,-2.419088260108761,1.4151862500209331,1.743541078178728,-4.169343648251903,-4.696569538198621,-0.6287713052413818,-2.6446526216700965,3.7024203869928862,1.6926089264301425,-5.739108518319179,-5.828100579871379
Always_Sleep,2.419088260108761,0.0,2.1397603395570366,3.0241954939598066,-3.6987352524566703,-4.3958774529506535,4.30411791792496,-1.1982128390252567,5.82978553559418,3.0421201733982253,-7.3555868427535005,-7.481415744586551
Max_Throughput,-1.4151862500209331,-2.1397603395570366,0.0,-0.26202331147873215,-2.8575353672798807,-3.0932727217020233,-1.6462735847301235,-2.2191470395385537,0.449289892957902,-0.33429652573791707,-3.256690717079444,-3.289068687039643
Battery_Threshold,-1.743541078178728,-3.0241954939598066,0.26202331147873215,0.0,-4.073243871525832,-4.415143433119139,-2.1904569604349398,-3.1437432939947056,1.0576204493007941,-0.09499222843619666,-4.775687339296896,-4.825934054734357
Smart_Heuristic,4.169343648251903,3.6987352524566703,2.8575353672798807,4.073243871525832,0.0,-0.8156921156107767,5.301496172622702,3.1369041263159594,6.851466818635278,4.129447966396676,-1.4330620685006537,-1.5549049253951615
PPO,4.696569538198621,4.3958774529506535,3.0932727217020233,4.415143433119139,0.8156921156107767,0.0,5.831109136118058,3.8782521652362,7.207299736784418,4.48310228300912,-0.41775186100791517,-0.5348953377379696
Random_Wrapped,0.6287713052413818,-4.30411791792496,1.6462735847301235,2.1904569604349398,-5.301496172622702,-5.831109136118058,0.0,-4.318741984829632,4.6219047327119425,2.163996454895907,-8.521513262667105,-8.628367375003362
Always_Sleep_Wrapped,2.6446526216700965,1.1982128390252567,2.2191470395385537,3.1437432939947056,-3.1369041263159594,-3.8782521652362,4.318741984829632,0.0,5.949164696571459,3.166590442170035,-6.251260045077859,-6.384269495095765
Max_Throughput_Wrapped,-3.7024203869928862,-5.82978553559418,-0.449289892957902,-1.0576204493007941,-6.851466818635278,-7.207299736784418,-4.6219047327119425,-5.949164696571459,0.0,-1.200238035644033,-7.929331411391652,-7.989605933237383
Battery_Threshold_Wrapped,-1.6926089264301425,-3.0421201733982253,0.33429652573791707,0.09499222843619666,-4.129447966396676,-4.48310228300912,-2.163996454895907,-3.166590442170035,1.200238035644033,0.0,-4.872162931210233,-4.924560133218564
Smart_Heuristic_Wrapped,5.739108518319179,7.3555868427535005,3.256690717079444,4.775687339296896,1.4330620685006537,0.41775186100791517,8.521513262667105,6.251260045077859,7.929331411391652,4.872162931210233,0.0,-0.1512542627157172
PPO_Wrapped,5.828100579871379,7.481415744586551,3.289068687039643,4.825934054734357,1.5549049253951615,0.5348953377379696,8.628367375003362,6.384269495095765,7.989605933237383,4.924560133218564,0.1512542627157172,0.0
