,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,-2.1409217879586273,1.3669120731802125,1.8842029037281383,-2.3763967181232863,-4.397669794085147,-0.07951460130035884,-2.361767420371406,3.9035116915707455,1.9789756653653556,-2.870007245938835,-5.434105188996046
Always_Sleep,2.1409217879586273,0.0,2.076559520310534,3.170361624038947,-1.3768831630381346,-4.328099387305579,6.3975106895873575,-1.2021305435598086,6.169097800717565,3.391485538506389,-3.1967536499569587,-7.439839755948953
Max_Throughput,-1.3669120731802125,-2.076559520310534,0.0,-0.12656973302152116,-2.157646608042591,-3.053114347688583,-1.4466820459197463,-2.1563775209074767,0.6173180377725906,-0.13869607651680507,-2.317281565961602,-3.254665831265459
Battery_Threshold,-1.8842029037281383,-3.170361624038947,0.12656973302152116,0.0,-3.294393650324301,-4.566165307452761,-2.119610657533746,-3.28918775624157,1.0926448790346504,-0.013462508970365569,-3.5498227231517525,-5.001148416779915
Smart_Heuristic,2.3763967181232863,1.3768831630381346,2.157646608042591,3.294393650324301,0.0,-3.8750643305443386,6.2185507589034215,-3.18514460123028e-05,6.3044486898082015,3.5224502379330733,-1.6703013429678677,-6.515547052126753
PPO,4.397669794085147,4.328099387305579,3.053114347688583,4.566165307452761,3.8750643305443386,0.0,6.390203611570202,3.8398645155746696,7.497663858659381,4.841403859593575,3.1809192699179776,-0.5192116186238618
Random_Wrapped,0.07951460130035884,-6.3975106895873575,1.4466820459197463,2.119610657533746,-6.2185507589034215,-6.390203611570202,0.0,-5.9526763534664395,4.665918298800961,2.256834850242855,-7.0718847383043615,-9.705995249219137
Always_Sleep_Wrapped,2.361767420371406,1.2021305435598086,2.1563775209074767,3.28918775624157,3.18514460123028e-05,-3.8398645155746696,5.9526763534664395,0.0,6.286105036683736,3.5160169922461884,-1.5746013142475417,-6.392276758293531
Max_Throughput_Wrapped,-3.9035116915707455,-6.169097800717565,-0.6173180377725906,-1.0926448790346504,-6.3044486898082015,-7.497663858659381,-4.665918298800961,-6.286105036683736,0.0,-1.16007033481811,-6.629692336653196,-8.364355188625312
Battery_Threshold_Wrapped,-1.9789756653653556,-3.391485538506389,0.13869607651680507,0.013462508970365569,-3.5224502379330733,-4.841403859593575,-2.256834850242855,-3.5160169922461884,1.16007033481811,0.0,-3.7954197846214845,-5.333896040318508
Smart_Heuristic_Wrapped,2.870007245938835,3.1967536499569587,2.317281565961602,3.5498227231517525,1.6703013429678677,-3.1809192699179776,7.0718847383043615,1.5746013142475417,6.629692336653196,3.7954197846214845,0.0,-5.393557622957079
PPO_Wrapped,5.434105188996046,7.439839755948953,3.254665831265459,5.001148416779915,6.515547052126753,0.5192116186238618,9.705995249219137,6.392276758293531,8.364355188625312,5.333896040318508,5.393557622957079,0.0
