policy,mean_reward_mean,mean_reward_std,mean_reward_min,mean_reward_max,delivery_rate_mean,delivery_rate_std,delivery_rate_min,delivery_rate_max
PPO_Wrapped,800.108,17.16,787.967,829.592,0.723,0.016,0.712,0.75
PPO,626.831,4.083,621.809,630.778,0.779,0.002,0.776,0.781
Smart_Heuristic_Wrapped,413.646,467.346,-263.427,782.533,0.476,0.299,0.048,0.718
Smart_Heuristic,95.947,347.047,-439.005,352.673,0.364,0.231,0.012,0.541
Always_Sleep_Wrapped,-436.034,5.181,-439.002,-427.037,0.049,0.004,0.047,0.056
Always_Sleep,-530.699,0.0,-530.699,-530.699,0.0,0.0,0.0,0.0
Random_Wrapped,-1135.669,70.305,-1204.366,-1050.363,0.518,0.08,0.41,0.597
Random,-1266.693,80.435,-1399.811,-1196.893,0.573,0.037,0.514,0.608
Battery_Threshold_Wrapped,-2536.311,105.677,-2687.526,-2436.781,0.629,0.093,0.525,0.729
Battery_Threshold,-2598.137,51.697,-2673.934,-2532.924,0.561,0.062,0.492,0.624
Max_Throughput,-2859.355,66.692,-2923.398,-2775.206,0.701,0.011,0.682,0.709
Max_Throughput_Wrapped,-3474.493,66.465,-3563.699,-3387.12,0.624,0.067,0.549,0.699
