,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,MPC_Greedy,MPC_Short_Horizon,MPC_Long_Horizon,MPC_Adaptive,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,MPC_Greedy_Wrapped,MPC_Short_Horizon_Wrapped,MPC_Long_Horizon_Wrapped,MPC_Adaptive_Wrapped,PPO_Wrapped
Random,0.0,-2.360708085509667,1.4273674418678728,1.8328236257717514,-4.162263422873108,0.9158186566798958,0.7718830278128709,1.1682580959797493,1.1227841975823574,-4.687331484535563,-0.4946412107223899,-2.5891952121040918,3.9637978842191592,1.93334944727866,-5.57605916377277,2.5327516834963224,2.456205864951862,3.725766746740164,3.4828992119287023,-5.953713895235793
Always_Sleep,2.360708085509667,0.0,2.109656820353408,3.0117635488020023,-3.7027906545783944,1.6975872131775585,1.9177239157134411,1.9921306115331137,1.9859472072042141,-4.324604390784143,4.509008018460723,-1.1919109072287035,6.063745045062975,3.2718465898393925,-6.6421786269454275,4.00452153970109,6.000620302397687,6.2317971665272935,5.94311771210028,-7.493609971284061
Max_Throughput,-1.4273674418678728,-2.109656820353408,0.0,-0.2014303450043133,-2.838662273856264,-0.4981880269374999,-0.8414447614783114,-0.3560942105813746,-0.42498634646906025,-3.1012527868784754,-1.6108871795065511,-2.187021222640762,0.5203573344712217,-0.24292086145904324,-3.2007412736391236,0.03777223162282171,-0.548884859766393,0.23227911451094121,0.1242902228584721,-3.3033579061059193
Battery_Threshold,-1.8328236257717514,-3.0117635488020023,0.2014303450043133,0.0,-4.054996050518228,-0.39569001430527584,-0.8631020426708487,-0.21739399762484166,-0.3028231878093531,-4.4154163172405285,-2.1921052439231996,-3.1261699121035686,1.0570526088424967,-0.04924862304708706,-4.668954545985355,0.3408145937966301,-0.4899140227848544,0.6672431581548227,0.5088943083932971,-4.837098680599224
Smart_Heuristic,4.162263422873108,3.7027906545783944,2.838662273856264,4.054996050518228,0.0,2.545626965084026,3.0663706469460914,2.857290100246605,2.8865571432620265,-0.8938576626681579,5.357813129092391,3.170147009044412,7.076717455172376,4.381017485554461,-1.2585247015144245,5.093157153308347,6.991453820502681,7.253888502171766,7.002795025239811,-1.6494719974280896
MPC_Greedy,-0.9158186566798958,-1.6975872131775585,0.4981880269374999,0.39569001430527584,-2.545626965084026,0.0,-0.30886464331220287,0.16279204742250053,0.09821260638577448,-2.8479921177341523,-1.1172331057184783,-1.7881807177153943,1.2711181687532955,0.36904172544039043,-2.9673396959794545,0.6911595763126562,0.09977518208994371,0.9659013672713251,0.8429082843273994,-3.0868779687896053
MPC_Short_Horizon,-0.7718830278128709,-1.9177239157134411,0.8414447614783114,0.8631020426708487,-3.0663706469460914,0.30886464331220287,0.0,0.5068879528092788,0.4418837015616689,-3.460287464860642,-1.0713009494030623,-2.044000667939362,2.096814189183884,0.8589931759852836,-3.692882684595977,1.277608017412469,0.6374909456781731,1.7477434002720096,1.58431000394843,-3.867242359610513
MPC_Long_Horizon,-1.1682580959797493,-1.9921306115331137,0.3560942105813746,0.21739399762484166,-2.857290100246605,-0.16279204742250053,-0.5068879528092788,0.0,-0.06944425599881708,-3.16489082768727,-1.3886089738305105,-2.0847878628371146,1.0996318621450711,0.18398817414996868,-3.2979191042300613,0.511993739411159,-0.12079092017824379,0.7812177032431871,0.654524809728289,-3.4221481223978043
MPC_Adaptive,-1.1227841975823574,-1.9859472072042141,0.42498634646906025,0.3028231878093531,-2.8865571432620265,-0.09821260638577448,-0.4418837015616689,0.06944425599881708,0.0,-3.2055224799921307,-1.353588455381908,-2.0826694779346475,1.2273099238228695,0.2718822833411215,-3.3490627765855496,0.6118279676457048,-0.030346717256892298,0.9021514163405878,0.7706278632484581,-3.4792391304841077
PPO,4.687331484535563,4.324604390784143,3.1012527868784754,4.4154163172405285,0.8938576626681579,2.8479921177341523,3.460287464860642,3.16489082768727,3.2055224799921307,0.0,5.770915756288673,3.8654611008810846,7.41422155580712,4.759094983357519,-0.16283244420851392,5.462564261229966,7.323534544227438,7.590198800184139,7.350000913554259,-0.5002912863679234
Random_Wrapped,0.4946412107223899,-4.509008018460723,1.6108871795065511,2.1921052439231996,-5.357813129092391,1.1172331057184783,1.0713009494030623,1.3886089738305105,1.353588455381908,-5.770915756288673,0.0,-4.492651154457916,4.8161635184848395,2.3545419745500777,-8.058194000882938,3.034220987518146,3.782454554280253,4.751666937659831,4.469475112213213,-8.77766214709212
Always_Sleep_Wrapped,2.5891952121040918,1.1919109072287035,2.187021222640762,3.1261699121035686,-3.170147009044412,1.7881807177153943,2.044000667939362,2.0847878628371146,2.0826694779346475,-3.8654611008810846,4.492651154457916,0.0,6.180377542564429,3.394872066121973,-5.745286423590275,4.126055273041078,6.11955106278163,6.351957823845614,6.0677122269204,-6.491564896338134
Max_Throughput_Wrapped,-3.9637978842191592,-6.063745045062975,-0.5203573344712217,-1.0570526088424967,-7.076717455172376,-1.2711181687532955,-2.096814189183884,-1.0996318621450711,-1.2273099238228695,-7.41422155580712,-4.8161635184848395,-6.180377542564429,0.0,-1.1884895428932967,-8.0605096373614,-0.7561645703183921,-2.222972610240127,-0.5512707362035671,-0.7508231694720297,-8.310974324420064
Battery_Threshold_Wrapped,-1.93334944727866,-3.2718465898393925,0.24292086145904324,0.04924862304708706,-4.381017485554461,-0.36904172544039043,-0.8589931759852836,-0.18398817414996868,-0.2718822833411215,-4.759094983357519,-2.3545419745500777,-3.394872066121973,1.1884895428932967,0.0,-5.074062466799221,0.4140540690428212,-0.4682674406503965,0.7798254675284446,0.6093521364106725,-5.261909250060915
Smart_Heuristic_Wrapped,5.57605916377277,6.6421786269454275,3.2007412736391236,4.668954545985355,1.2585247015144245,2.9673396959794545,3.692882684595977,3.2979191042300613,3.3490627765855496,0.16283244420851392,8.058194000882938,5.745286423590275,8.0605096373614,5.074062466799221,0.0,5.834530715871699,8.691643089137301,8.424176747508971,8.164711797097244,-0.4250273647007862
MPC_Greedy_Wrapped,-2.5327516834963224,-4.00452153970109,-0.03777223162282171,-0.3408145937966301,-5.093157153308347,-0.6911595763126562,-1.277608017412469,-0.511993739411159,-0.6118279676457048,-5.462564261229966,-3.034220987518146,-4.126055273041078,0.7561645703183921,-0.4140540690428212,-5.834530715871699,0.0,-1.0234253859273743,0.31264820923966546,0.1370134065674267,-6.032496630315823
MPC_Short_Horizon_Wrapped,-2.456205864951862,-6.000620302397687,0.548884859766393,0.4899140227848544,-6.991453820502681,-0.09977518208994371,-0.6374909456781731,0.12079092017824379,0.030346717256892298,-7.323534544227438,-3.782454554280253,-6.11955106278163,2.222972610240127,0.4682674406503965,-8.691643089137301,1.0234253859273743,0.0,1.7828788809113811,1.5331473878995299,-9.115810738084956
MPC_Long_Horizon_Wrapped,-3.725766746740164,-6.2317971665272935,-0.23227911451094121,-0.6672431581548227,-7.253888502171766,-0.9659013672713251,-1.7477434002720096,-0.7812177032431871,-0.9021514163405878,-7.590198800184139,-4.751666937659831,-6.351957823845614,0.5512707362035671,-0.7798254675284446,-8.424176747508971,-0.31264820923966546,-1.7828788809113811,0.0,-0.21625728942175795,-8.718403929007467
MPC_Adaptive_Wrapped,-3.4828992119287023,-5.94311771210028,-0.1242902228584721,-0.5088943083932971,-7.002795025239811,-0.8429082843273994,-1.58431000394843,-0.654524809728289,-0.7706278632484581,-7.350000913554259,-4.469475112213213,-6.0677122269204,0.7508231694720297,-0.6093521364106725,-8.164711797097244,-0.1370134065674267,-1.5331473878995299,0.21625728942175795,0.0,-8.458204624885175
PPO_Wrapped,5.953713895235793,7.493609971284061,3.3033579061059193,4.837098680599224,1.6494719974280896,3.0868779687896053,3.867242359610513,3.4221481223978043,3.4792391304841077,0.5002912863679234,8.77766214709212,6.491564896338134,8.310974324420064,5.261909250060915,0.4250273647007862,6.032496630315823,9.115810738084956,8.718403929007467,8.458204624885175,0.0
